word|example|translation|example_translation|familiarity
verorten|Verorte das Wort im richtigen Kontext.|to locate|Locate the word in the right context.|0
auslegen|Lege die Anweisung großzügig aus.|to interpret (liberally)|Interpret the instruction liberally.|0
eng auslegen|Lege die Regel hier eng aus.|to interpret (strictly)|Interpret the rule strictly here.|0
abstimmen|Stimme Tempo und Schwierigkeit ab.|to coordinate|Coordinate speed and difficulty.|0
gegenlesen|Lass deinen Text einmal gegenlesen.|to proofread|Have your text proofread once.|0
mitlesen|Lies beim Audio leise mit.|to read along|Read along softly during the audio.|0
nachsprechen|Sprich jede Zeile langsam nach.|to repeat (aloud)|Repeat each line slowly.|0
voraussagen|Sage das nächste Wort voraus.|to predict|Predict the next word.|0
ablenken lassen|Lass dich nicht vom Lärm ablenken.|to get distracted|Don’t get distracted by noise.|0
gerichtet lernen|Lerne heute ganz gezielt Nomen.|to study purposefully|Study nouns very purposefully today.|0
ungestört lernen|Lerne zwanzig Minuten ungestört.|to study undisturbed|Study for twenty minutes undisturbed.|0
aufmerksam sein|Sei bei den Beispielen aufmerksam.|to be attentive|Be attentive with the examples.|0
konzentriert bleiben|Bleib fünf Minuten konzentriert.|to stay focused|Stay focused for five minutes.|0
gelassen bleiben|Bleib gelassen, wenn es schwer ist.|to stay calm|Stay calm when it’s hard.|0
neugierig bleiben|Bleib neugierig auf neue Wörter.|to stay curious|Stay curious about new words.|0
dranbleiben|Bleib noch zwei Minuten dran.|to keep at it|Keep at it for two more minutes.|0
durchhalten|Halte die Übung bis zum Ende durch.|to persevere|Persevere to the end of the exercise.|0
abbrechen|Brich rechtzeitig ab, wenn du müde bist.|to stop|Stop in time if you’re tired.|0
pausieren|Pausiere kurz nach zehn Sätzen.|to take a break|Take a short break after ten sentences.|0
weiterüben|Übe danach direkt weiter.|to keep practicing|Keep practicing right after.|0
wiederholen (Block)|Wiederhole denselben Block einmal.|to review (block)|Review the same block once.|0
überspringen|Überspringe bekannte Sätze.|to skip|Skip sentences you already know.|0
zurückspringen|Springe bei Bedarf zum Start zurück.|to jump back|Jump back to the start if needed.|0
vorspulen|Spule das Audio kurz vor.|to fast-forward|Fast-forward the audio briefly.|0
zurückspulen|Spule das Audio langsam zurück.|to rewind|Rewind the audio slowly.|0
neu abspielen|Spiele die Passage noch einmal ab.|to replay|Replay the passage once more.|0
inneh alt en|Halte nach dem Wort kurz inne.|to pause (briefly)|Pause briefly after the word.|0
durchatmen|Atme tief durch und lies weiter.|to take a deep breath|Take a deep breath and keep reading.|0
aufhorchen|Horche auf die Endungen im Satz.|to prick up one’s ears|Listen closely to the endings in the sentence.|0
heraushören|Höre die Betonung am Satzende heraus.|to make out (by ear)|Make out the stress at the end of the sentence.|0
heraussuchen|Suche passende Beispiele heraus.|to pick out|Pick out suitable examples.|0
herausfinden|Finde die Regel selbst heraus.|to find out|Find the rule by yourself.|0
ausprobieren|Probiere eine andere Stimme aus.|to try out|Try a different voice.|0
umsetzen|Setze den Tipp sofort um.|to implement|Implement the tip immediately.|0
verwerfen (Plan)|Verwirf den alten Plan.|to discard|Discard the old plan.|0
erneuern|Erneuere deine Liste heute.|to renew|Renew your list today.|0
fortsetzen|Setze die Serie morgen fort.|to continue|Continue the series tomorrow.|0
abschließen|Schließe die Übung sauber ab.|to complete|Complete the exercise properly.|0
abgleichen (Aussprache)|Gleiche deine Aussprache mit Audio ab.|to compare|Compare your pronunciation with the audio.|0
hervorheben|Heb die wichtigen Wörter hervor.|to highlight|Highlight the important words.|0
markieren|Markiere die Silben mit Farben.|to mark|Mark the syllables with colors.|0
durchstreichen|Streiche falsche Antworten durch.|to strike through|Strike through wrong answers.|0
einzeichnen|Zeichne Pausen in den Text ein.|to mark in|Mark pauses into the text.|0
ausradieren|Radiere alte Notizen aus.|to erase|Erase old notes.|0
überarbeiten|Arbeite die Liste gründlich über.|to revise|Revise the list thoroughly.|0
verfeinern|Verfeinere deine Beispiele leicht.|to refine|Refine your examples slightly.|0
verschärfen|Schärfe den Fokus für zehn Minuten.|to intensify|Intensify your focus for ten minutes.|0
locker lassen|Lass es am Abend locker angehen.|to take it easy|Take it easy in the evening.|0
ankurbeln|Kurble die Motivation mit Musik an.|to boost|Boost motivation with music.|0
abflauen|Die Müdigkeit flaut nach Pausen ab.|to subside|Tiredness subsides after breaks.|0
aufpäppeln|Päpple dich mit Wasser wieder auf.|to perk up|Perk yourself up with water.|0
abklingen|Lass den Stress langsam abklingen.|to fade away|Let the stress slowly fade away.|0
abfangen (Fehler)|Fang Fehler mit einfachen Regeln ab.|to intercept|Intercept mistakes with simple rules.|0
sichern (Erfolg)|Sichere Erfolge mit Wiederholung.|to secure|Secure successes with repetition.|0
untermauern|Untermauere Wissen mit Beispielen.|to underpin|Underpin knowledge with examples.|0
stützen|Stütze neue Wörter mit Bildern.|to support|Support new words with pictures.|0
entkräften|Entkräfte falsche Annahmen sofort.|to refute|Refute wrong assumptions immediately.|0
bestärken|Bestärke dich nach kleinen Erfolgen.|to encourage|Encourage yourself after small successes.|0
ermutigen|Ermutige dich, laut zu sprechen.|to encourage|Encourage yourself to speak aloud.|0
beruhigen|Beruhige dich bei Fehlern.|to calm|Calm yourself when you make mistakes.|0
fokussieren|Fokussiere heute nur ein Thema.|to focus|Focus on just one topic today.|0
abgrenzen (Zeit)|Grenze Lernzeit klar ab.|to set boundaries|Set clear boundaries for study time.|0
abschätzen (Schwierigkeit)|Schätze die Schwierigkeit ehrlich ab.|to gauge|Gauge the difficulty honestly.|0
vereinbaren (Ziel)|Vereinbare ein realistisches Ziel.|to agree upon|Agree upon a realistic goal.|0
einhalten (Plan)|Halte den Plan so gut es geht ein.|to stick to|Stick to the plan as best you can.|0
abweichen|Weiche bei Bedarf leicht ab.|to deviate|Deviate slightly if needed.|0
gegenprüfen|Prüfe deine Lösung gegen die Audio.|to cross-check|Cross-check your solution with the audio.|0
neu bewerten|Bewerte deinen Fortschritt neu.|to reassess|Reassess your progress.|0
nachkorrigieren|Korrigiere kleine Fehler nach.|to fine-correct|Fine-correct small mistakes.|0
herunterbrechen|Brich das Problem in Teile herunter.|to break down|Break the problem into parts.|0
zusammenbauen|Bau die Teile wieder zusammen.|to assemble|Assemble the parts again.|0
vorwegnehmen (Antwort)|Nimm die Lösung nicht vorweg.|to anticipate (answer)|Don’t anticipate the solution.|0
durchspielen|Spiel den Dialog einmal durch.|to run through|Run through the dialog once.|0
mitsprechen|Sprich den Dialog leise mit.|to speak along|Speak along quietly with the dialog.|0
einprägen (Klang)|Präge dir den Klang der Endung ein.|to memorize|Memorize the sound of the ending.|0
vergleichen (Akzent)|Vergleiche Akzente zweier Stimmen.|to compare|Compare accents of two voices.|0
abwandeln (Tempo)|Wandle das Tempo behutsam ab.|to vary|Vary the tempo gently.|0
durchmischen|Mische schwere und leichte Sätze.|to mix|Mix difficult and easy sentences.|0
aussetzen|Setze eine Runde aus, trink Wasser.|to skip a turn|Skip one round, drink water.|0
auffüllen (Energie)|Fülle Energie mit frischer Luft auf.|to top up|Top up energy with fresh air.|0
schrittweise gehen|Geh schrittweise durch die Regel.|to go step by step|Go step by step through the rule.|0
zeitlich staffeln|Staffle die Übungen über den Tag.|to stagger|Stagger exercises over the day.|0
versetzen (Reihenfolge)|Versetze die Reihenfolge der Sätze.|to shift|Shift the order of the sentences.|0
verankern (Routine)|Verankere eine feste Lernzeit.|to anchor|Anchor a fixed study time.|0
ablenkungen entfernen|Entferne sichtbare Ablenkungen.|to remove distractions|Remove visible distractions.|0
vorbereiten (Material)|Bereite Material am Vorabend vor.|to prepare|Prepare material the evening before.|0
aufwärmen (Stimme)|Wärme deine Stimme kurz auf.|to warm up|Warm up your voice briefly.|0
ausprobieren (Stimme)|Probiere eine langsamere Stimme aus.|to try|Try a slower voice.|0
abspeichern (Fortschritt)|Speichere deinen Stand im Kopf ab.|to store|Store your status in your mind.|0
abbauen (Hemmung)|Bau Hemmungen durch Übung ab.|to reduce|Reduce inhibitions through practice.|0
verstärken (Signal)|Verstärke das Signal, sprich lauter.|to amplify|Amplify the signal, speak louder.|0
abdämpfen (Laut)|Dämpfe harte Laute ein wenig ab.|to dampen|Dampen harsh sounds a little.|0
schärfen (Ohr)|Schärfe dein Ohr für Rhythmen.|to sharpen|Sharpen your ear for rhythms.|0
glätten (Rede)|Glätte deine Rede mit Pausen.|to smooth|Smooth your speech with pauses.|0
verlangsamen (Rede)|Verlangsame die Rede bei Fehlern.|to slow down|Slow down your speech when you err.|0
beschleunigen (Rede)|Beschleunige leicht, wenn sicher.|to speed up|Speed up slightly when you’re sure.|0
taktieren|Taktiere klug mit kurzen Blöcken.|to pace strategically|Pace yourself smartly with short blocks.|0
abschneiden (Text)|Schneide unnötigen Text weg.|to cut off|Cut away unnecessary text.|0
ergänzen (Hinweis)|Ergänze kurze Hinweise im Rand.|to add|Add short hints in the margin.|0
abgleichen (Zielbild)|Gleiche mit deinem Zielbild ab.|to align|Align with your target picture.|0
einordnen (Niveau)|Ordne die Übung deinem Niveau zu.|to classify|Classify the exercise to your level.|0
mitnehmen (Erkenntnis)|Nimm eine Erkenntnis mit.|to take away|Take one insight with you.|0
weitertragen|Trage sie in die nächste Übung.|to carry forward|Carry it into the next exercise.|0
verstauen (Wissen)|Verstaue Wissen ordentlich im Kopf.|to stow|Stow knowledge neatly in your head.|0
hervorholen|Hol es später schnell hervor.|to retrieve|Retrieve it quickly later.|0
abrufen|Rufe Wörter ohne Hilfe ab.|to recall|Recall words without help.|0
vorbereithalten|Halte Stift und Papier bereit.|to keep ready|Keep pen and paper ready.|0
durchstrecken (Zeit)|Streck die Lernzeit nicht endlos.|to stretch out|Don’t stretch study time endlessly.|0
zusammenkürzen|Kürze den Stoff auf das Nötige.|to trim down|Trim the material to the necessary.|0
überführen (Wissen)|Führe Wissen in Können über.|to convert|Convert knowledge into ability.|0
verankern (Können)|Verankere Können durch Übung.|to anchor|Anchor ability through practice.|0
abholen (Motivation)|Hol Motivation über kleine Ziele ab.|to pick up|Pick up motivation via small goals.|0
heranführen|Führe dich langsam an Neues heran.|to introduce|Introduce yourself slowly to new things.|0
herausfordern|Fordere dich leicht heraus.|to challenge|Challenge yourself lightly.|0
überfordern (nicht)|Überfordere dich aber nicht.|to overwhelm (not)|But don’t overwhelm yourself.|0
entdecken|Entdecke ein Muster im Text.|to discover|Discover a pattern in the text.|0
ausbauen|Bau das Muster mit Beispielen aus.|to expand|Expand the pattern with examples.|0
verwerfen (Muster)|Verwirf Muster, die nicht helfen.|to discard|Discard patterns that don’t help.|0
abgleichen (Gefühl)|Gleiche Gefühl mit Ergebnis ab.|to compare|Compare feeling with result.|0
kalibrieren (Tempo)|Kalibriere das Tempo neu.|to calibrate|Calibrate the speed anew.|0
aufschreiben (Ziel)|Schreibe dein Tagesziel auf.|to write down|Write down your daily goal.|0
vorlesen (Ziel)|Lies es dir kurz vor.|to read aloud|Read it aloud to yourself.|0
unterzeichnen (Commitment)|Unterzeichne innerlich dein Vorhaben.|to sign|Sign your plan inwardly.|0
durchziehen (Commitment)|Zieh es heute einfach durch.|to see through|Just see it through today.|0
belohnen|Belohne dich nach der Sitzung.|to reward|Reward yourself after the session.|0
wertschätzen|Schätze kleine Schritte wert.|to value|Value small steps.|0
resümieren|Resümiere am Ende drei Punkte.|to summarize|Summarize three points at the end.|0
anwenden (Transfer)|Wende ein Wort in neuem Kontext an.|to apply|Apply a word in a new context.|0
abgleichen (Transfer)|Prüfe, ob es noch passt.|to check|Check whether it still fits.|0
durchsetzen (Routine)|Setze deine Routine freundlich durch.|to enforce|Enforce your routine kindly.|0
beibehalten|Behalte funktionierende Schritte bei.|to maintain|Maintain steps that work.|0
abbauen (Reibung)|Bau Reibung beim Start ab.|to reduce friction|Reduce friction at the start.|0
vorstrukturieren|Strukturiere deinen Ablauf vor.|to pre-structure|Pre-structure your routine.|0
verknüpfen (Anker)|Verknüpfe Lernen mit Tee.|to link|Link studying with tea.|0
entkoppeln (Ablenkung)|Kopple Handy vom Lernen ab.|to decouple|Decouple the phone from studying.|0
hochfahren (Energie)|Fahre Energie durch Bewegung hoch.|to ramp up|Ramp up energy through movement.|0
runterfahren (Tempo)|Fahre das Tempo abends herunter.|to wind down|Wind down the pace in the evening.|0
abgrenzen (Ort)|Grenze den Lernort klar ab.|to delimit|Clearly delimit the study place.|0
aufteilen (Tag)|Teile den Tag in Lernfenster.|to split|Split the day into study windows.|0
zusammenführen|Führe Notizen am Abend zusammen.|to merge|Merge notes in the evening.|0
konkret machen|Mach den nächsten Schritt konkret.|to make concrete|Make the next step concrete.|0
verbindlich machen|Mach den Plan verbindlich.|to make binding|Make the plan binding.|0
sichtbar machen|Mach Fortschritt sichtbar.|to make visible|Make progress visible.|0
hörbar machen|Mach Aussprache hörbar.|to make audible|Make pronunciation audible.|0
greifbar halten|Halte Ziele greifbar und klein.|to keep tangible|Keep goals tangible and small.|0
nachspüren|Spüre kleinen Erfolgen nach.|to sense|Sense small successes.|0
aufgreifen (Fehler)|Greif häufige Fehler gezielt auf.|to address|Address frequent mistakes specifically.|0
umdeuten|Deute Fehler als Feedback um.|to reframe|Reframe mistakes as feedback.|0
weitermachen|Mach danach einfach weiter.|to carry on|Just carry on afterwards.|0
dranbleiben (kurz)|Bleib noch zwei Sätze dran.|to keep going (brief)|Keep going for two more sentences.|0
abbilden (Plan)|Bilde deinen Plan im Kalender ab.|to reflect|Reflect your plan in the calendar.|0
gegenchecken|Checke Termine gegen deine Energie.|to double-check|Double-check times against your energy.|0
nachsteuern|Steuere morgen leicht nach.|to adjust afterwards|Adjust slightly tomorrow.|0
abschmieren (nicht)|Schmiere bei Rückschlag nicht ab.|to crash (not)|Don’t crash after a setback.|0
auffangen (Rückschlag)|Fang Rückschläge freundlich auf.|to cushion|Cushion setbacks kindly.|0
verankern (Spruch)|Verankere einen kurzen Leitspruch.|to anchor|Anchor a short motto.|0
einschätzen (Stand)|Schätze deinen Stand ehrlich ein.|to assess|Honestly assess your current level.|0
aufstocken (Zeit)|Stocke die Lernzeit am Freitag auf.|to increase|Increase study time on Friday.|0
abbauen (Zeit)|Bau sie am Sonntag etwas ab.|to reduce|Reduce it a little on Sunday.|0
vorziehen (Block)|Ziehe Morgen den Hörblock vor.|to bring forward|Bring the listening block forward tomorrow.|0
nach hinten schieben|Schiebe Schreiben nach hinten.|to push back|Push writing to later.|0
antesten|Teste heute nur zehn neue Wörter an.|to test|Test only ten new words today.|0
absegnen|Segne deine Planung innerlich ab.|to approve|Approve your planning inwardly.|0
